worker_id,worker_skill,experience_years,worker_location,distance_km,availability,rating,job_type,required_skill,match_score,match_label
W0021,Cleaner,1,Tirupati,6.4,Available,2.7,Painter,Painter,0.363,0
W0022,Electrician,4,Warangal,3.6,Available Morning,4.9,Domestic Helper,Domestic Helper,0.459,0
W0023,Cleaner,19,Hanamkonda,10.9,Busy,4.8,Domestic Helper,Domestic Helper,0.339,0
W0024,Cleaner,20,Hanamkonda,9.6,Available Morning,2.8,Driver,Driver,0.429,0
W0025,Electrician,0,Hyderabad,14.9,Busy,4.0,Gardener,Gardener,0.191,0
W0026,Electrician,7,Secunderabad,2.2,Available,4.6,Plumber,Plumber,0.494,0
W0027,Domestic Helper,8,Tirupati,16.9,Busy,3.8,Painter,Painter,0.251,0
W0028,Painter,13,Guntur,5.2,Available,4.1,Caregiver,Caregiver,0.49,0
W0029,Driver,14,Secunderabad,21.7,Available,4.2,Driver,Driver,0.81,1
W0030,Plumber,10,Hanamkonda,20.1,Available,3.1,Driver,Driver,0.351,0
W0031,Domestic Helper,4,Secunderabad,10.8,Available Evening,3.7,Caregiver,Caregiver,0.378,0
W0032,Caregiver,3,Hanamkonda,1.7,Available,4.9,Domestic Helper,Domestic Helper,0.464,0
W0033,Carpenter,15,Warangal,12.3,Available Morning,4.8,Driver,Driver,0.448,0
W0034,Driver,12,Tirupati,7.0,Available Morning,3.2,Plumber,Plumber,0.458,0
W0035,Carpenter,9,Hyderabad,5.8,Available,3.9,Painter,Painter,0.472,0
W0036,Gardener,1,Secunderabad,14.8,Busy,2.6,Plumber,Plumber,0.174,0
W0037,Carpenter,19,Hanamkonda,2.2,Busy,3.5,Electrician,Electrician,0.382,0
W0038,Technician,1,Guntur,15.7,Available Morning,4.1,Technician,Technician,0.766,1
W0039,Cleaner,10,Vijayawada,6.3,Available Morning,2.8,Painter,Painter,0.456,0
W0040,Caregiver,2,Hanamkonda,0.7,Available,2.7,Gardener,Gardener,0.418,0
W0041,Domestic Helper,4,Guntur,23.4,Available,4.7,Cleaner,Cleaner,0.297,0
W0042,Cleaner,14,Hyderabad,20.9,Available Evening,4.0,Carpenter,Carpenter,0.363,0
W0043,Domestic Helper,3,Secunderabad,23.5,Busy,3.2,Cleaner,Cleaner,0.136,0
W0044,Domestic Helper,8,Hanamkonda,7.4,Busy,4.3,Carpenter,Carpenter,0.337,0
W0045,Cleaner,15,Visakhapatnam,6.7,Available,2.7,Domestic Helper,Domestic Helper,0.45,0
W0046,Cleaner,0,Vijayawada,8.7,Busy,4.1,Plumber,Plumber,0.242,0
W0047,Carpenter,17,Warangal,17.8,Available,2.8,Caregiver,Caregiver,0.364,0
W0048,Domestic Helper,11,Hyderabad,14.8,Busy,3.6,Plumber,Plumber,0.284,0
W0049,Cleaner,1,Secunderabad,22.5,Busy,4.2,Gardener,Gardener,0.144,0
W0050,Gardener,13,Hanamkonda,24.4,Busy,4.8,Domestic Helper,Domestic Helper,0.231,0
W0051,Carpenter,13,Visakhapatnam,1.1,Available Evening,4.5,Carpenter,Carpenter,0.981,1
W0052,Painter,5,Hyderabad,19.8,Available,3.5,Cleaner,Cleaner,0.312,0
W0053,Caregiver,6,Hanamkonda,20.5,Available Morning,3.4,Painter,Painter,0.314,0
W0054,Painter,6,Vijayawada,10.3,Available Evening,4.7,Plumber,Plumber,0.422,0
W0055,Gardener,12,Secunderabad,17.1,Available Evening,4.8,Domestic Helper,Domestic Helper,0.409,0
W0056,Cleaner,18,Visakhapatnam,24.1,Available Evening,2.6,Carpenter,Carpenter,0.309,0
W0057,Gardener,13,Hanamkonda,15.4,Available,3.5,Gardener,Gardener,0.847,1
W0058,Cleaner,13,Secunderabad,0.5,Busy,3.4,Plumber,Plumber,0.394,0
W0059,Gardener,10,Vijayawada,16.8,Available,4.3,Technician,Technician,0.402,0
W0060,Domestic Helper,13,Hanamkonda,8.5,Available Evening,3.9,Cleaner,Cleaner,0.46,0
W0061,Driver,5,Hyderabad,15.6,Available Evening,3.5,Driver,Driver,0.795,1
W0062,Cleaner,6,Tirupati,11.0,Available Evening,3.7,Cleaner,Cleaner,0.846,1
W0063,Painter,15,Vijayawada,19.9,Busy,4.1,Domestic Helper,Domestic Helper,0.253,0
W0064,Domestic Helper,10,Hanamkonda,2.8,Busy,4.2,Technician,Technician,0.392,0
W0065,Painter,0,Secunderabad,1.6,Available Morning,4.0,Carpenter,Carpenter,0.417,0
W0066,Caregiver,20,Hanamkonda,14.6,Available Morning,3.7,Driver,Driver,0.407,0
W0067,Carpenter,3,Tirupati,19.6,Busy,2.9,Plumber,Plumber,0.161,0
W0068,Plumber,7,Tirupati,23.0,Available,3.6,Domestic Helper,Domestic Helper,0.308,0
W0069,Domestic Helper,19,Visakhapatnam,8.3,Available Morning,4.0,Domestic Helper,Domestic Helper,0.914,1
W0070,Domestic Helper,5,Hanamkonda,18.7,Available Morning,3.6,Caregiver,Caregiver,0.322,0
W0071,Cleaner,15,Vijayawada,15.9,Available Evening,3.6,Domestic Helper,Domestic Helper,0.395,0
W0072,Painter,10,Hanamkonda,8.3,Available,2.8,Cleaner,Cleaner,0.44,0
W0073,Driver,6,Tirupati,2.1,Available Morning,3.3,Carpenter,Carpenter,0.459,0
W0074,Driver,6,Hyderabad,20.9,Available Morning,4.8,Plumber,Plumber,0.339,0
W0075,Technician,15,Visakhapatnam,0.6,Available Evening,3.2,Driver,Driver,0.509,0
W0076,Driver,17,Vijayawada,20.1,Busy,3.7,Domestic Helper,Domestic Helper,0.243,0
W0077,Driver,0,Tirupati,10.0,Available Morning,4.3,Caregiver,Caregiver,0.356,0
W0078,Carpenter,17,Hyderabad,1.2,Available Morning,4.0,Technician,Technician,0.52,0
W0079,Electrician,4,Visakhapatnam,21.7,Busy,2.6,Driver,Driver,0.148,0
W0080,Gardener,14,Visakhapatnam,8.5,Available Morning,3.2,Painter,Painter,0.446,0
W0081,Cleaner,15,Guntur,1.0,Available,5.0,Electrician,Electrician,0.542,0
W0082,Painter,20,Hanamkonda,1.5,Available,4.9,Electrician,Electrician,0.536,0
W0083,Plumber,4,Hanamkonda,6.3,Available Morning,4.2,Technician,Technician,0.424,0
W0084,Caregiver,11,Warangal,4.6,Available,4.4,Cleaner,Cleaner,0.501,0
W0085,Cleaner,18,Visakhapatnam,1.1,Available Evening,3.9,Electrician,Electrician,0.519,0
W0086,Driver,2,Vijayawada,15.0,Busy,2.8,Painter,Painter,0.186,0
W0087,Technician,18,Guntur,19.7,Available Evening,3.8,Electrician,Electrician,0.368,0
W0088,Electrician,20,Secunderabad,8.9,Available Morning,4.6,Domestic Helper,Domestic Helper,0.471,0
W0089,Driver,20,Visakhapatnam,22.3,Available Morning,4.3,Gardener,Gardener,0.358,0
W0090,Carpenter,20,Vijayawada,7.1,Available Morning,3.7,Domestic Helper,Domestic Helper,0.467,0
W0091,Gardener,2,Tirupati,7.3,Available Morning,3.1,Painter,Painter,0.374,0
W0092,Technician,12,Warangal,8.7,Available Morning,4.6,Technician,Technician,0.922,1
W0093,Caregiver,11,Vijayawada,20.0,Available Evening,3.2,Painter,Painter,0.354,0
W0094,Domestic Helper,16,Visakhapatnam,23.7,Available,3.1,Plumber,Plumber,0.322,0
W0095,Caregiver,7,Hyderabad,17.4,Available Morning,3.6,Domestic Helper,Domestic Helper,0.353,0
W0096,Electrician,7,Guntur,10.4,Busy,3.3,Cleaner,Cleaner,0.283,0
W0097,Caregiver,16,Tirupati,8.9,Available Evening,3.4,Domestic Helper,Domestic Helper,0.447,0
W0098,Cleaner,8,Warangal,6.1,Busy,3.3,Cleaner,Cleaner,0.777,1
W0099,Painter,15,Hanamkonda,7.3,Available Evening,5.0,Painter,Painter,0.942,1
W0100,Cleaner,11,Warangal,4.9,Available,4.3,Painter,Painter,0.497,0
W0101,Cleaner,1,Tirupati,14.1,Busy,4.1,Plumber,Plumber,0.209,0
W0102,Electrician,18,Warangal,7.5,Available Morning,3.6,Plumber,Plumber,0.462,0
W0103,Plumber,15,Secunderabad,3.3,Available,3.5,Cleaner,Cleaner,0.494,0
W0104,Technician,4,Hanamkonda,4.2,Available Evening,2.7,Plumber,Plumber,0.41,0
W0105,Electrician,13,Visakhapatnam,15.4,Busy,4.4,Domestic Helper,Domestic Helper,0.295,0
W0106,Caregiver,9,Hyderabad,21.6,Available Morning,3.3,Caregiver,Caregiver,0.783,1
W0107,Technician,6,Warangal,15.8,Available Evening,4.2,Electrician,Electrician,0.368,0
W0108,Painter,17,Tirupati,2.3,Available,3.5,Carpenter,Carpenter,0.502,0
W0109,Cleaner,7,Tirupati,7.6,Available Evening,4.3,Plumber,Plumber,0.445,0
W0110,Electrician,8,Hanamkonda,19.8,Busy,3.6,Painter,Painter,0.224,0
W0111,Carpenter,4,Vijayawada,2.2,Busy,4.5,Cleaner,Cleaner,0.342,0
W0112,Caregiver,14,Tirupati,17.4,Available Morning,4.9,Electrician,Electrician,0.409,0
W0113,Caregiver,19,Vijayawada,1.5,Available Morning,4.3,Electrician,Electrician,0.524,0
W0114,Plumber,7,Vijayawada,24.1,Available,5.0,Electrician,Electrician,0.327,0
W0115,Technician,5,Warangal,12.0,Available Morning,4.8,Plumber,Plumber,0.4,0
W0116,Technician,20,Visakhapatnam,20.4,Available,3.7,Driver,Driver,0.361,0
W0117,Gardener,3,Tirupati,21.5,Available Evening,3.5,Gardener,Gardener,0.728,1
W0118,Cleaner,17,Guntur,1.4,Available,3.3,Driver,Driver,0.505,0
W0119,Electrician,16,Tirupati,20.7,Available,4.1,Driver,Driver,0.366,0
W0120,Driver,6,Hyderabad,13.2,Available Morning,4.1,Plumber,Plumber,0.386,0
W0121,Painter,17,Tirupati,3.7,Available Evening,3.6,Cleaner,Cleaner,0.492,0
W0122,Electrician,20,Vijayawada,15.4,Busy,4.3,Plumber,Plumber,0.293,0
W0123,Domestic Helper,17,Secunderabad,10.5,Busy,5.0,Plumber,Plumber,0.346,0
W0124,Caregiver,20,Vijayawada,20.9,Available Morning,4.8,Electrician,Electrician,0.379,0
W0125,Domestic Helper,13,Warangal,21.0,Available Morning,3.1,Cleaner,Cleaner,0.344,0
W0126,Driver,19,Vijayawada,13.0,Busy,4.7,Painter,Painter,0.32,0
W0127,Driver,16,Vijayawada,7.0,Available,3.2,Gardener,Gardener,0.458,0
W0128,Technician,15,Guntur,21.7,Available Morning,3.8,Technician,Technician,0.802,1
W0129,Gardener,17,Hanamkonda,9.7,Available Evening,4.7,Domestic Helper,Domestic Helper,0.466,0
W0130,Technician,7,Tirupati,21.5,Available Morning,2.6,Driver,Driver,0.3,0
W0131,Driver,20,Warangal,24.5,Available Morning,4.9,Driver,Driver,0.802,1
W0132,Domestic Helper,10,Tirupati,21.8,Available Morning,2.7,Technician,Technician,0.33,0
W0133,Plumber,13,Vijayawada,21.8,Busy,2.7,Carpenter,Carpenter,0.21,0
W0134,Gardener,12,Visakhapatnam,16.4,Available Evening,4.6,Technician,Technician,0.411,0
W0135,Gardener,17,Vijayawada,1.4,Available,3.1,Caregiver,Caregiver,0.501,0
W0136,Painter,13,Vijayawada,24.5,Available,3.6,Electrician,Electrician,0.326,0
W0137,Plumber,10,Visakhapatnam,20.0,Available Evening,3.4,Plumber,Plumber,0.808,1
W0138,Carpenter,16,Secunderabad,10.6,Busy,2.9,Painter,Painter,0.303,0
W0139,Technician,19,Warangal,17.2,Available Morning,4.8,Driver,Driver,0.408,0
W0140,Painter,20,Tirupati,6.7,Available Evening,4.2,Caregiver,Caregiver,0.48,0
W0141,Cleaner,5,Vijayawada,2.3,Available Evening,5.0,Domestic Helper,Domestic Helper,0.482,0
W0142,Driver,14,Tirupati,21.2,Busy,5.0,Cleaner,Cleaner,0.26,0
W0143,Electrician,12,Vijayawada,14.5,Available Evening,5.0,Painter,Painter,0.434,0
W0144,Plumber,8,Tirupati,0.7,Available,4.8,Driver,Driver,0.52,0
W0145,Cleaner,19,Vijayawada,20.1,Busy,4.1,Painter,Painter,0.251,0
W0146,Carpenter,20,Hyderabad,16.3,Available Evening,4.5,Electrician,Electrician,0.41,0
W0147,Technician,4,Visakhapatnam,2.7,Available Evening,3.3,Gardener,Gardener,0.434,0
W0148,Carpenter,4,Vijayawada,19.8,Available Evening,3.8,Painter,Painter,0.308,0
W0149,Carpenter,15,Guntur,24.2,Available Evening,4.4,Cleaner,Cleaner,0.344,0
W0150,Electrician,2,Visakhapatnam,3.9,Busy,4.7,Caregiver,Caregiver,0.313,0
W0151,Domestic Helper,2,Secunderabad,19.9,Available,3.2,Gardener,Gardener,0.275,0
W0152,Caregiver,8,Hanamkonda,14.8,Available Evening,2.8,Gardener,Gardener,0.368,0
W0153,Caregiver,19,Hanamkonda,22.2,Available Evening,4.8,Plumber,Plumber,0.368,0
W0154,Electrician,9,Hyderabad,16.4,Available,2.8,Caregiver,Caregiver,0.365,0
W0155,Cleaner,3,Guntur,2.9,Busy,3.5,Caregiver,Caregiver,0.307,0
W0156,Domestic Helper,18,Secunderabad,18.7,Busy,4.7,Driver,Driver,0.274,0
W0157,Caregiver,13,Guntur,23.5,Available Evening,2.6,Technician,Technician,0.314,0
W0158,Painter,14,Guntur,23.8,Available Evening,2.7,Caregiver,Caregiver,0.314,0
W0159,Domestic Helper,1,Tirupati,10.3,Busy,4.9,Gardener,Gardener,0.256,0
W0160,Electrician,20,Guntur,16.2,Available,2.6,Painter,Painter,0.372,0
W0161,Painter,18,Hanamkonda,5.5,Busy,4.0,Carpenter,Carpenter,0.366,0
W0162,Gardener,19,Vijayawada,0.6,Busy,5.0,Carpenter,Carpenter,0.425,0
W0163,Carpenter,0,Hanamkonda,3.7,Available Evening,4.5,Electrician,Electrician,0.41,0
W0164,Technician,0,Visakhapatnam,4.8,Available,2.8,Gardener,Gardener,0.368,0
W0165,Domestic Helper,2,Secunderabad,12.2,Available Evening,3.8,Electrician,Electrician,0.348,0
W0166,Caregiver,7,Vijayawada,23.7,Available,4.3,Domestic Helper,Domestic Helper,0.316,0
W0167,Caregiver,1,Secunderabad,25.0,Available Morning,3.6,Plumber,Plumber,0.232,0
W0168,Caregiver,2,Secunderabad,22.5,Available Evening,4.0,Caregiver,Caregiver,0.72,1
W0169,Carpenter,19,Vijayawada,16.0,Available Evening,3.5,Cleaner,Cleaner,0.392,0
W0170,Caregiver,19,Hanamkonda,11.0,Available,4.6,Domestic Helper,Domestic Helper,0.454,0
W0171,Driver,7,Secunderabad,10.6,Available Morning,3.5,Caregiver,Caregiver,0.405,0
W0172,Gardener,10,Tirupati,16.8,Available Evening,4.9,Driver,Driver,0.414,0
W0173,Electrician,2,Guntur,2.8,Available,4.4,Electrician,Electrician,0.886,1
W0174,Carpenter,1,Visakhapatnam,14.9,Available Evening,4.2,Domestic Helper,Domestic Helper,0.325,0
W0175,Gardener,1,Hanamkonda,24.2,Available Evening,3.4,Driver,Driver,0.234,0
W0176,Carpenter,7,Guntur,21.3,Available Evening,4.6,Caregiver,Caregiver,0.342,0
W0177,Electrician,18,Hyderabad,6.0,Available Morning,4.6,Cleaner,Cleaner,0.494,0
W0178,Technician,0,Guntur,4.9,Available Evening,4.8,Cleaner,Cleaner,0.407,0
W0179,Plumber,4,Hyderabad,14.4,Available Morning,2.7,Carpenter,Carpenter,0.329,0
W0180,Electrician,6,Guntur,9.7,Available Morning,3.4,Domestic Helper,Domestic Helper,0.4,0
W0181,Cleaner,18,Hyderabad,15.1,Available,2.9,Gardener,Gardener,0.387,0
W0182,Electrician,14,Visakhapatnam,16.7,Available Morning,4.0,Cleaner,Cleaner,0.396,0
W0183,Cleaner,16,Tirupati,3.3,Available Morning,2.8,Painter,Painter,0.48,0
W0184,Domestic Helper,1,Vijayawada,5.9,Available,2.5,Cleaner,Cleaner,0.363,0
W0185,Painter,8,Visakhapatnam,7.6,Available,2.5,Carpenter,Carpenter,0.419,0
W0186,Carpenter,12,Guntur,13.5,Busy,3.8,Carpenter,Carpenter,0.748,1
W0187,Electrician,1,Guntur,11.2,Available Morning,4.8,Driver,Driver,0.366,0
W0188,Technician,18,Visakhapatnam,10.4,Available Morning,3.2,Driver,Driver,0.431,0
W0189,Plumber,5,Guntur,20.1,Available Morning,4.6,Gardener,Gardener,0.331,0
W0190,Electrician,3,Visakhapatnam,6.5,Available Morning,3.8,Driver,Driver,0.404,0
W0191,Cleaner,7,Secunderabad,8.7,Busy,2.7,Gardener,Gardener,0.284,0
W0192,Domestic Helper,6,Warangal,22.7,Available Evening,3.4,Domestic Helper,Domestic Helper,0.746,1
W0193,Painter,4,Secunderabad,6.8,Busy,4.0,Electrician,Electrician,0.296,0
W0194,Carpenter,14,Guntur,19.0,Available Morning,4.2,Caregiver,Caregiver,0.382,0
W0195,Gardener,14,Vijayawada,2.2,Available Morning,4.1,Carpenter,Carpenter,0.514,0
W0196,Technician,11,Hyderabad,12.9,Available Evening,3.7,Plumber,Plumber,0.421,0
W0197,Plumber,9,Visakhapatnam,2.4,Available,4.0,Gardener,Gardener,0.501,0
W0198,Caregiver,17,Hanamkonda,23.9,Available,3.6,Technician,Technician,0.331,0
W0199,Gardener,15,Guntur,12.8,Available,3.6,Technician,Technician,0.42,0
W0200,Electrician,20,Tirupati,4.7,Busy,4.3,Domestic Helper,Domestic Helper,0.378,0
W0201,Domestic Helper,19,Visakhapatnam,4.4,Available Evening,4.8,Domestic Helper,Domestic Helper,0.961,1
W0202,Driver,19,Secunderabad,1.8,Available Evening,2.7,Gardener,Gardener,0.49,0
W0203,Domestic Helper,9,Warangal,6.7,Busy,3.3,Driver,Driver,0.332,0
W0204,Gardener,20,Secunderabad,17.6,Available Morning,2.8,Cleaner,Cleaner,0.365,0
W0205,Cleaner,12,Secunderabad,16.3,Available Evening,4.5,Domestic Helper,Domestic Helper,0.41,0
W0206,Driver,11,Hanamkonda,0.9,Available Evening,3.0,Domestic Helper,Domestic Helper,0.503,0
W0207,Gardener,6,Vijayawada,6.1,Busy,2.9,Caregiver,Caregiver,0.299,0
W0208,Electrician,17,Warangal,21.0,Available,4.2,Domestic Helper,Domestic Helper,0.366,0
W0209,Technician,4,Hyderabad,4.5,Busy,4.3,Driver,Driver,0.32,0
W0210,Driver,7,Tirupati,24.3,Available Evening,4.4,Gardener,Gardener,0.314,0
W0211,Painter,7,Hanamkonda,8.1,Available Morning,4.8,Domestic Helper,Domestic Helper,0.451,0
W0212,Gardener,14,Visakhapatnam,11.8,Available Evening,4.4,Technician,Technician,0.444,0
W0213,Carpenter,19,Tirupati,3.9,Available Evening,2.6,Painter,Painter,0.471,0
W0214,Gardener,3,Warangal,17.9,Available,3.2,Domestic Helper,Domestic Helper,0.301,0
W0215,Cleaner,16,Hanamkonda,4.1,Available Morning,2.7,Caregiver,Caregiver,0.471,0
W0216,Caregiver,0,Hanamkonda,10.7,Available Morning,3.8,Gardener,Gardener,0.34,0
W0217,Driver,11,Guntur,6.0,Available Evening,4.8,Electrician,Electrician,0.498,0
W0218,Carpenter,1,Warangal,7.5,Available Morning,4.2,Carpenter,Carpenter,0.834,1
W0219,Caregiver,19,Hanamkonda,0.6,Available,2.5,Caregiver,Caregiver,0.945,1
W0220,Carpenter,19,Hanamkonda,13.4,Available,4.4,Domestic Helper,Domestic Helper,0.431,0
W0221,Cleaner,1,Tirupati,6.3,Available Morning,2.7,Electrician,Electrician,0.364,0
W0222,Technician,0,Vijayawada,16.0,Busy,4.3,Domestic Helper,Domestic Helper,0.188,0
W0223,Driver,19,Secunderabad,9.1,Available Morning,3.0,Plumber,Plumber,0.437,0
W0224,Domestic Helper,2,Tirupati,23.9,Available,3.5,Gardener,Gardener,0.249,0
W0225,Plumber,11,Secunderabad,6.7,Available,3.4,Driver,Driver,0.464,0
W0226,Gardener,20,Guntur,3.0,Available Evening,2.8,Painter,Painter,0.482,0
W0227,Domestic Helper,20,Tirupati,4.8,Available Morning,5.0,Gardener,Gardener,0.512,0
W0228,Carpenter,2,Hanamkonda,18.0,Available Morning,2.6,Carpenter,Carpenter,0.728,1
W0229,Plumber,1,Tirupati,8.2,Available Evening,3.8,Painter,Painter,0.37,0
W0230,Cleaner,20,Hyderabad,5.2,Available Evening,4.7,Plumber,Plumber,0.502,0
W0231,Gardener,3,Tirupati,20.1,Available Morning,4.7,Cleaner,Cleaner,0.313,0
W0232,Driver,5,Vijayawada,12.7,Available Morning,3.4,Gardener,Gardener,0.366,0
W0233,Electrician,2,Guntur,11.0,Busy,3.9,Driver,Driver,0.24,0
W0234,Electrician,10,Visakhapatnam,16.7,Available Evening,3.6,Electrician,Electrician,0.838,1
W0235,Carpenter,11,Visakhapatnam,11.5,Available Evening,4.0,Caregiver,Caregiver,0.438,0
W0236,Cleaner,2,Warangal,16.9,Available Morning,3.4,Plumber,Plumber,0.303,0
W0237,Plumber,19,Secunderabad,17.1,Available Morning,2.6,Carpenter,Carpenter,0.365,0
W0238,Painter,11,Tirupati,9.9,Available,4.0,Gardener,Gardener,0.451,0
W0239,Gardener,14,Visakhapatnam,19.2,Busy,3.8,Gardener,Gardener,0.702,1
W0240,Gardener,7,Tirupati,24.0,Available,4.3,Cleaner,Cleaner,0.314,0
W0241,Domestic Helper,17,Hanamkonda,3.4,Available Evening,4.3,Driver,Driver,0.509,0
W0242,Technician,15,Tirupati,5.4,Busy,4.6,Cleaner,Cleaner,0.379,0
W0243,Carpenter,2,Secunderabad,20.4,Available Evening,4.2,Caregiver,Caregiver,0.291,0
W0244,Domestic Helper,9,Warangal,22.3,Busy,4.3,Domestic Helper,Domestic Helper,0.678,1
W0245,Gardener,7,Hanamkonda,3.5,Busy,4.5,Domestic Helper,Domestic Helper,0.362,0
W0246,Caregiver,11,Warangal,14.1,Available Evening,3.7,Plumber,Plumber,0.411,0
W0247,Technician,2,Visakhapatnam,8.1,Available Morning,3.8,Electrician,Electrician,0.381,0
W0248,Technician,4,Guntur,24.3,Available,3.6,Electrician,Electrician,0.268,0
W0249,Carpenter,20,Hyderabad,14.9,Busy,3.6,Domestic Helper,Domestic Helper,0.283,0
W0250,Electrician,4,Hanamkonda,8.0,Busy,3.3,Domestic Helper,Domestic Helper,0.272,0
W0251,Gardener,9,Vijayawada,21.2,Available Evening,3.0,Domestic Helper,Domestic Helper,0.33,0
W0252,Carpenter,19,Warangal,13.6,Busy,4.0,Cleaner,Cleaner,0.301,0
W0253,Carpenter,19,Hyderabad,8.8,Available,4.6,Technician,Technician,0.472,0
W0254,Electrician,20,Visakhapatnam,19.4,Available Evening,4.1,Plumber,Plumber,0.377,0
W0255,Technician,15,Vijayawada,22.3,Available Evening,4.1,Plumber,Plumber,0.354,0
W0256,Caregiver,12,Warangal,7.8,Available,4.2,Painter,Painter,0.472,0
W0257,Caregiver,15,Guntur,11.9,Available Evening,4.0,Driver,Driver,0.435,0
W0258,Gardener,12,Secunderabad,3.7,Available Evening,3.8,Gardener,Gardener,0.946,1
W0259,Gardener,14,Secunderabad,3.5,Available Morning,3.1,Painter,Painter,0.484,0
W0260,Plumber,12,Warangal,21.7,Available Morning,3.1,Cleaner,Cleaner,0.338,0
W0261,Gardener,10,Tirupati,5.2,Busy,3.7,Technician,Technician,0.362,0
W0262,Caregiver,15,Hanamkonda,1.1,Available Morning,3.8,Cleaner,Cleaner,0.517,0
W0263,Painter,11,Tirupati,1.7,Available Evening,3.7,Technician,Technician,0.51,0
W0264,Cleaner,0,Vijayawada,21.3,Available Morning,2.8,Domestic Helper,Domestic Helper,0.236,0
W0265,Gardener,11,Hanamkonda,1.6,Available,3.9,Driver,Driver,0.515,0
W0266,Gardener,9,Vijayawada,2.3,Available Morning,4.4,Domestic Helper,Domestic Helper,0.51,0
W0267,Technician,3,Guntur,3.7,Available,3.5,Technician,Technician,0.87,1
W0268,Domestic Helper,4,Hyderabad,5.4,Available Morning,3.8,Gardener,Gardener,0.423,0
W0269,Plumber,10,Warangal,20.2,Available Morning,2.9,Carpenter,Carpenter,0.346,0
W0270,Gardener,10,Tirupati,4.5,Available Evening,4.0,Technician,Technician,0.494,0
W0271,Technician,15,Secunderabad,20.5,Available Evening,3.3,Cleaner,Cleaner,0.352,0
W0272,Driver,9,Vijayawada,20.0,Available,4.0,Technician,Technician,0.36,0
W0273,Technician,7,Visakhapatnam,18.2,Available Morning,2.9,Technician,Technician,0.782,1
W0274,Carpenter,1,Tirupati,14.5,Available,3.0,Painter,Painter,0.304,0
W0275,Gardener,4,Tirupati,10.6,Busy,3.5,Driver,Driver,0.255,0
W0276,Plumber,16,Tirupati,5.6,Available Evening,5.0,Carpenter,Carpenter,0.505,0
W0277,Domestic Helper,10,Guntur,23.9,Available Morning,4.8,Driver,Driver,0.355,0
W0278,Domestic Helper,20,Hanamkonda,20.2,Available Evening,4.0,Gardener,Gardener,0.368,0
W0279,Painter,17,Hanamkonda,7.8,Available Evening,4.4,Cleaner,Cleaner,0.476,0
W0280,Caregiver,15,Visakhapatnam,9.0,Available Evening,3.2,Gardener,Gardener,0.442,0
W0281,Driver,4,Secunderabad,7.6,Available Evening,4.9,Gardener,Gardener,0.427,0
W0282,Gardener,20,Vijayawada,6.8,Available Morning,3.0,Caregiver,Caregiver,0.456,0
W0283,Domestic Helper,4,Hanamkonda,3.2,Busy,3.1,Cleaner,Cleaner,0.306,0
W0284,Painter,3,Warangal,10.6,Available Morning,2.8,Plumber,Plumber,0.351,0
W0285,Plumber,5,Hanamkonda,10.5,Available Morning,3.7,Domestic Helper,Domestic Helper,0.39,0
W0286,Cleaner,9,Hanamkonda,16.3,Available,4.1,Gardener,Gardener,0.392,0
W0287,Domestic Helper,5,Hyderabad,10.7,Busy,4.8,Plumber,Plumber,0.29,0
W0288,Driver,5,Hyderabad,23.4,Available Evening,4.7,Caregiver,Caregiver,0.307,0
W0289,Cleaner,19,Tirupati,3.1,Available Evening,3.2,Technician,Technician,0.489,0
